ELI,title,keywords,ChapterTitle,start_char,end_char
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko czci i nietykalności cielesnej | Przestępstwa przeciwko prawom osób wykonujących pracę zarobkową,206984,212775
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko działalności instytucji państwowych oraz samorządu terytorialnego,212775,225650
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wymiarowi sprawiedliwości,225650,238190
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wyborom i referendum | Przestępstwa przeciwko porządkowi publicznemu,238190,250813
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko ochronie informacji,250813,256869
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wiarygodności dokumentów,256869,263640
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko mieniu,263640,274108
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi gospodarczemu i interesom majątkowym w obrocie cywilnoprawnym (Część 1/2),274108,289108
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi gospodarczemu i interesom majątkowym w obrocie cywilnoprawnym (Część 2/2),289108,291245
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi pieniędzmi i papierami wartościowymi | Przepisy ogólne dotyczące żołnierzy,291245,301818
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obowiązkowi pełnienia służby wojskowej | Przestępstwa przeciwko zasadom dyscypliny wojskowej,301818,307685
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko zasadom postępowania z podwładnymi | Przestępstwa przeciwko zasadom obchodzenia się z uzbrojeniem i uzbrojonym sprzętem wojskowym | Przestępstwa przeciwko zasadom pełnienia służby | Przestępstwa przeciwko mieniu wojskowemu,307685,313223
